season,round,circuit_name,country,location,date,driver_code,driver_number,team,grid_position,position,points,status,laps_completed,air_temp,track_temp,rain_probability
2021,1,Bahrain Grand Prix,Bahrain,Sakhir,2021-03-28,44,44,Mercedes,2.0,1.0,25.0,Finished,56.0,20.53834586466165,27.627819548872182,0.0
2021,1,Bahrain Grand Prix,Bahrain,Sakhir,2021-03-28,33,33,Red Bull Racing,1.0,2.0,18.0,Finished,56.0,20.53834586466165,27.627819548872182,0.0
2021,1,Bahrain Grand Prix,Bahrain,Sakhir,2021-03-28,77,77,Mercedes,3.0,3.0,16.0,Finished,56.0,20.53834586466165,27.627819548872182,0.0
2021,1,Bahrain Grand Prix,Bahrain,Sakhir,2021-03-28,4,4,McLaren,7.0,4.0,12.0,Finished,56.0,20.53834586466165,27.627819548872182,0.0
2021,1,Bahrain Grand Prix,Bahrain,Sakhir,2021-03-28,11,11,Red Bull Racing,0.0,5.0,10.0,Finished,56.0,20.53834586466165,27.627819548872182,0.0
2021,1,Bahrain Grand Prix,Bahrain,Sakhir,2021-03-28,16,16,Ferrari,4.0,6.0,8.0,Finished,56.0,20.53834586466165,27.627819548872182,0.0
2021,1,Bahrain Grand Prix,Bahrain,Sakhir,2021-03-28,3,3,McLaren,6.0,7.0,6.0,Finished,56.0,20.53834586466165,27.627819548872182,0.0
2021,1,Bahrain Grand Prix,Bahrain,Sakhir,2021-03-28,55,55,Ferrari,8.0,8.0,4.0,Finished,56.0,20.53834586466165,27.627819548872182,0.0
2021,1,Bahrain Grand Prix,Bahrain,Sakhir,2021-03-28,22,22,AlphaTauri,13.0,9.0,2.0,Finished,56.0,20.53834586466165,27.627819548872182,0.0
2021,1,Bahrain Grand Prix,Bahrain,Sakhir,2021-03-28,18,18,Aston Martin,10.0,10.0,1.0,Finished,56.0,20.53834586466165,27.627819548872182,0.0
2021,1,Bahrain Grand Prix,Bahrain,Sakhir,2021-03-28,7,7,Alfa Romeo Racing,14.0,11.0,0.0,Finished,56.0,20.53834586466165,27.627819548872182,0.0
2021,1,Bahrain Grand Prix,Bahrain,Sakhir,2021-03-28,99,99,Alfa Romeo Racing,12.0,12.0,0.0,+1 Lap,55.0,20.53834586466165,27.627819548872182,0.0
2021,1,Bahrain Grand Prix,Bahrain,Sakhir,2021-03-28,31,31,Alpine,16.0,13.0,0.0,+1 Lap,55.0,20.53834586466165,27.627819548872182,0.0
2021,1,Bahrain Grand Prix,Bahrain,Sakhir,2021-03-28,63,63,Williams,15.0,14.0,0.0,+1 Lap,55.0,20.53834586466165,27.627819548872182,0.0
2021,1,Bahrain Grand Prix,Bahrain,Sakhir,2021-03-28,5,5,Aston Martin,20.0,15.0,0.0,+1 Lap,55.0,20.53834586466165,27.627819548872182,0.0
2021,1,Bahrain Grand Prix,Bahrain,Sakhir,2021-03-28,47,47,Haas F1 Team,18.0,16.0,0.0,+1 Lap,55.0,20.53834586466165,27.627819548872182,0.0
2021,1,Bahrain Grand Prix,Bahrain,Sakhir,2021-03-28,10,10,AlphaTauri,5.0,17.0,0.0,Retired,52.0,20.53834586466165,27.627819548872182,0.0
2021,1,Bahrain Grand Prix,Bahrain,Sakhir,2021-03-28,6,6,Williams,17.0,18.0,0.0,Retired,51.0,20.53834586466165,27.627819548872182,0.0
2021,1,Bahrain Grand Prix,Bahrain,Sakhir,2021-03-28,14,14,Alpine,9.0,19.0,0.0,Brakes,32.0,20.53834586466165,27.627819548872182,0.0
2021,1,Bahrain Grand Prix,Bahrain,Sakhir,2021-03-28,9,9,Haas F1 Team,19.0,20.0,0.0,Accident,0.0,20.53834586466165,27.627819548872182,0.0
2021,2,Emilia Romagna Grand Prix,Italy,Imola,2021-04-18,33,33,Red Bull Racing,3.0,1.0,25.0,Finished,63.0,10.621118012422361,16.827329192546582,0.40993788819875776
2021,2,Emilia Romagna Grand Prix,Italy,Imola,2021-04-18,44,44,Mercedes,1.0,2.0,19.0,Finished,63.0,10.621118012422361,16.827329192546582,0.40993788819875776
2021,2,Emilia Romagna Grand Prix,Italy,Imola,2021-04-18,4,4,McLaren,7.0,3.0,15.0,Finished,63.0,10.621118012422361,16.827329192546582,0.40993788819875776
2021,2,Emilia Romagna Grand Prix,Italy,Imola,2021-04-18,16,16,Ferrari,4.0,4.0,12.0,Finished,63.0,10.621118012422361,16.827329192546582,0.40993788819875776
2021,2,Emilia Romagna Grand Prix,Italy,Imola,2021-04-18,55,55,Ferrari,11.0,5.0,10.0,Finished,63.0,10.621118012422361,16.827329192546582,0.40993788819875776
2021,2,Emilia Romagna Grand Prix,Italy,Imola,2021-04-18,3,3,McLaren,6.0,6.0,8.0,Finished,63.0,10.621118012422361,16.827329192546582,0.40993788819875776
2021,2,Emilia Romagna Grand Prix,Italy,Imola,2021-04-18,10,10,AlphaTauri,5.0,7.0,6.0,Finished,63.0,10.621118012422361,16.827329192546582,0.40993788819875776
2021,2,Emilia Romagna Grand Prix,Italy,Imola,2021-04-18,18,18,Aston Martin,10.0,8.0,4.0,Finished,63.0,10.621118012422361,16.827329192546582,0.40993788819875776
2021,2,Emilia Romagna Grand Prix,Italy,Imola,2021-04-18,31,31,Alpine,9.0,9.0,2.0,Finished,63.0,10.621118012422361,16.827329192546582,0.40993788819875776
2021,2,Emilia Romagna Grand Prix,Italy,Imola,2021-04-18,14,14,Alpine,15.0,10.0,1.0,Finished,63.0,10.621118012422361,16.827329192546582,0.40993788819875776
2021,2,Emilia Romagna Grand Prix,Italy,Imola,2021-04-18,11,11,Red Bull Racing,2.0,11.0,0.0,Finished,63.0,10.621118012422361,16.827329192546582,0.40993788819875776
2021,2,Emilia Romagna Grand Prix,Italy,Imola,2021-04-18,22,22,AlphaTauri,20.0,12.0,0.0,Finished,63.0,10.621118012422361,16.827329192546582,0.40993788819875776
2021,2,Emilia Romagna Grand Prix,Italy,Imola,2021-04-18,7,7,Alfa Romeo Racing,16.0,13.0,0.0,Finished,63.0,10.621118012422361,16.827329192546582,0.40993788819875776
2021,2,Emilia Romagna Grand Prix,Italy,Imola,2021-04-18,99,99,Alfa Romeo Racing,17.0,14.0,0.0,+1 Lap,62.0,10.621118012422361,16.827329192546582,0.40993788819875776
2021,2,Emilia Romagna Grand Prix,Italy,Imola,2021-04-18,5,5,Aston Martin,0.0,15.0,0.0,Gearbox,61.0,10.621118012422361,16.827329192546582,0.40993788819875776
2021,2,Emilia Romagna Grand Prix,Italy,Imola,2021-04-18,47,47,Haas F1 Team,18.0,16.0,0.0,+2 Laps,61.0,10.621118012422361,16.827329192546582,0.40993788819875776
2021,2,Emilia Romagna Grand Prix,Italy,Imola,2021-04-18,9,9,Haas F1 Team,19.0,17.0,0.0,+2 Laps,61.0,10.621118012422361,16.827329192546582,0.40993788819875776
2021,2,Emilia Romagna Grand Prix,Italy,Imola,2021-04-18,77,77,Mercedes,8.0,18.0,0.0,Collision,30.0,10.621118012422361,16.827329192546582,0.40993788819875776
2021,2,Emilia Romagna Grand Prix,Italy,Imola,2021-04-18,63,63,Williams,12.0,19.0,0.0,Collision,30.0,10.621118012422361,16.827329192546582,0.40993788819875776
2021,2,Emilia Romagna Grand Prix,Italy,Imola,2021-04-18,6,6,Williams,14.0,20.0,0.0,Collision,0.0,10.621118012422361,16.827329192546582,0.40993788819875776
2021,3,Portuguese Grand Prix,Portugal,Portimão,2021-05-02,44,44,Mercedes,2.0,1.0,25.0,Finished,66.0,19.392537313432832,38.950746268656715,0.0
2021,3,Portuguese Grand Prix,Portugal,Portimão,2021-05-02,33,33,Red Bull Racing,3.0,2.0,18.0,Finished,66.0,19.392537313432832,38.950746268656715,0.0
2021,3,Portuguese Grand Prix,Portugal,Portimão,2021-05-02,77,77,Mercedes,1.0,3.0,16.0,Finished,66.0,19.392537313432832,38.950746268656715,0.0
